iter	F1	Logloss
0	0.7938351822	0.6668116825
1	0.7953065914	0.6464233105
2	0.7954915441	0.6276598973
3	0.7940768935	0.6100492534
4	0.7960871334	0.5963670083
5	0.7961290457	0.5846129224
6	0.7946875994	0.5737060969
7	0.7961211909	0.564193464
8	0.796957285	0.5571576443
9	0.7968354299	0.5488549001
10	0.7969341969	0.5440482174
11	0.7969276322	0.5393865869
12	0.7971988877	0.5341415187
13	0.7972038582	0.5305671659
14	0.79728914	0.5274063069
15	0.7972228658	0.5230441932
16	0.7972272849	0.5195676013
17	0.7972352625	0.5164151226
18	0.7972039308	0.5144470148
19	0.7973961016	0.5119913699
20	0.7973918516	0.5100998155
21	0.7974220848	0.5079975275
22	0.7973386265	0.5063058494
23	0.7974021902	0.5051453332
24	0.797815058	0.5041834392
25	0.7979414333	0.5031817621
26	0.7979925472	0.5022043241
27	0.7985221154	0.5010311483
28	0.7986257972	0.5004152795
29	0.798925887	0.4992617968
30	0.7991881164	0.4981348734
31	0.7992399244	0.4975235746
32	0.7996037552	0.4965208693
33	0.7996628162	0.4960640989
34	0.7997429808	0.4956249461
35	0.7995683261	0.4952111579
36	0.7996188512	0.4947866661
37	0.7992768113	0.494099978
38	0.7996848606	0.4935271482
39	0.7998660378	0.4931032234
40	0.8000992002	0.4925927344
41	0.8003696324	0.4922684905
42	0.8004756503	0.4917156398
43	0.8004116267	0.4914541362
44	0.800494666	0.4910122964
45	0.8004939347	0.4906301699
46	0.8008323516	0.4904462542
47	0.8007609709	0.4902903522
48	0.8008016718	0.4899788113
49	0.8008832179	0.4894692299
50	0.8009951376	0.4893234648
51	0.8009830542	0.4891008752
52	0.8010901035	0.488896643
53	0.8010995759	0.4887678975
54	0.801110028	0.4885886533
55	0.8011211871	0.4884044651
56	0.8012307096	0.488243613
57	0.8011832002	0.4881197038
58	0.8011718867	0.488001988
59	0.8011264017	0.4878777179
60	0.8011373195	0.4875639571
61	0.8011753426	0.4874001961
62	0.8015831858	0.4872734211
63	0.8017868528	0.4871709682
64	0.8017961117	0.4869903715
65	0.8017382093	0.4867119577
66	0.8018233137	0.4865915029
67	0.801853229	0.4864193969
68	0.8018523459	0.4861680698
69	0.8018556686	0.4860500466
70	0.8018247871	0.4858511935
71	0.8019001367	0.4857564496
72	0.8018933243	0.4856706814
73	0.8019095489	0.4854792833
74	0.8019219732	0.4853484839
75	0.8019209267	0.4851681301
76	0.8019393565	0.4850910118
77	0.8019477006	0.4847927064
78	0.8019654845	0.4847008168
79	0.8020828181	0.4845330055
80	0.8021093985	0.484345049
81	0.8021668593	0.4842313158
82	0.8020410941	0.4841127865
83	0.802006057	0.4840323406
84	0.8020457541	0.4839194345
85	0.8022802948	0.4837715966
86	0.8022214888	0.4836053098
87	0.8022376284	0.4833659522
88	0.8022182595	0.4832765337
89	0.8025417595	0.4831690428
90	0.8024914487	0.4830508074
91	0.8025468236	0.4829783474
92	0.8024930934	0.4828904661
93	0.8025338522	0.4828165914
94	0.8025642402	0.4827147245
95	0.8025659272	0.4825347404
96	0.8025961364	0.4824293458
97	0.8025911296	0.4823544707
98	0.8025883683	0.4822664073
99	0.8026333051	0.482166201
100	0.8026357653	0.4821130146
101	0.80264161	0.4819866639
102	0.8026710109	0.4819213346
103	0.8027066094	0.4818372067
104	0.8027434117	0.4817614549
105	0.8029044808	0.4816612319
106	0.8028999726	0.4816298396
107	0.8028566471	0.4815936814
108	0.8029558227	0.4814645647
109	0.8029088655	0.4813654207
110	0.8028814913	0.4812746099
111	0.8028970865	0.4811228925
112	0.802897901	0.4810835233
113	0.8029788465	0.4810221929
114	0.8029541945	0.4809073615
115	0.8029555225	0.4808032729
116	0.8030625942	0.4806963958
117	0.8029715809	0.4806431387
118	0.8029576145	0.4805330002
119	0.8029720955	0.4804457628
120	0.8030827808	0.4803464118
121	0.8031375514	0.4802776441
122	0.8031752229	0.4801651795
123	0.8031998612	0.4800802636
124	0.803212221	0.4799849105
125	0.8032157549	0.4799100386
126	0.8032299912	0.4798672385
127	0.8032301959	0.4797274277
128	0.8032415085	0.4794896519
129	0.8032225558	0.4793704284
130	0.8032555001	0.4793003411
131	0.8032583629	0.4792172726
132	0.8032744879	0.4791591729
133	0.8033211175	0.4790650313
134	0.8033264695	0.4788966211
135	0.8033026624	0.4788446047
136	0.8033071994	0.4787332935
137	0.8033196684	0.4786597224
138	0.803315214	0.4786309963
139	0.803222161	0.4785785596
140	0.8032349417	0.4784876108
141	0.8032758918	0.4784542085
142	0.8033052143	0.4783854721
143	0.8034923575	0.4783117202
144	0.8035313609	0.4782474834
145	0.8035231473	0.47815364
146	0.8035278517	0.4780702923
147	0.8035187524	0.477992274
148	0.8035891107	0.4779359269
149	0.8035867301	0.4778894938
150	0.8036031044	0.4778437591
151	0.8036387882	0.4777694604
152	0.8036341909	0.4777012098
153	0.8036605674	0.4776392428
154	0.8036606242	0.4776073702
