iter	Passed	Remaining
0	54	54878
1	101	50437
2	161	53799
3	214	53389
4	263	52342
5	312	51715
6	371	52670
7	422	52414
8	472	52009
9	529	52420
10	591	53196
11	654	53857
12	716	54384
13	772	54436
14	825	54229
15	884	54422
16	944	54598
17	999	54510
18	1056	54537
19	1113	54561
20	1168	54473
21	1226	54506
22	1280	54398
23	1344	54685
24	1407	54906
25	1473	55186
26	1529	55128
27	1585	55046
28	1637	54834
29	1698	54902
30	1761	55063
31	1825	55224
32	1879	55078
33	1933	54939
34	1991	54902
35	2055	55049
36	2123	55274
37	2185	55328
38	2244	55298
39	2308	55397
40	2368	55410
41	2435	55556
42	2505	55761
43	2563	55708
44	2621	55627
45	2689	55768
46	2753	55837
47	2820	55936
48	2890	56099
49	2942	55915
50	3005	55930
51	3069	55957
52	3143	56174
53	3215	56322
54	3277	56311
55	3356	56577
56	3417	56546
57	3496	56783
58	3562	56819
59	3629	56858
60	3694	56864
61	3765	56962
62	3830	56973
63	3894	56951
64	3958	56935
65	4026	56975
66	4084	56871
67	4156	56974
68	4227	57046
69	4303	57169
70	4372	57216
71	4435	57165
72	4509	57268
73	4581	57331
74	4664	57524
75	4725	57448
76	4801	57556
77	4869	57564
78	4938	57577
79	5017	57705
80	5084	57686
81	5154	57709
82	5226	57739
83	5303	57828
84	5372	57834
85	5451	57941
86	5520	57938
87	5593	57964
88	5667	58009
89	5715	57794
90	5792	57857
91	5862	57863
92	5925	57788
93	6001	57847
94	6064	57769
95	6142	57845
96	6208	57801
97	6284	57846
98	6358	57869
99	6399	57596
100	6468	57579
