feature,importance
gem_level,30.781921283331915
base_type,14.348529446465243
explicit_mod_count,10.019223587848684
corrupted,9.55178457653932
gem_quality,9.176507646272759
quality,7.251572823202575
crit_chance,4.360985463061478
observed_weekday_utc,3.584064612138355
observed_hour_utc,3.5668779808112636
is_vaal,1.7706333431653558
is_awakened,1.516904352841641
life_roll_sum,1.1731199507375998
resistance_roll_sum,1.1332153324044536
move_speed,1.105500816952719
attribute_roll_sum,0.6591587842266182
elemental_dps,0.0
attack_speed,0.0
cluster_passive_count,0.0
jewel_type,0.0
cluster_size,0.0
ward,0.0
notable_count,0.0
damage_mod_count,0.0
defence_mod_count,0.0
utility_mod_count,0.0
model_segment,0.0
physical_dps,0.0
item_class,0.0
energy_shield,0.0
influence_hunter,0.0
rarity,0.0
ilvl,0.0
identified,0.0
fractured,0.0
synthesised,0.0
influence_shaper,0.0
influence_elder,0.0
influence_crusader,0.0
influence_redeemer,0.0
influence_warlord,0.0
evasion,0.0
influence_searing,0.0
influence_tangled,0.0
socket_count,0.0
link_count,0.0
white_socket_count,0.0
implicit_mod_count,0.0
crafted_mod_count,0.0
fractured_mod_count,0.0
enchant_mod_count,0.0
armour,0.0
