feature_name,policy_group
item_class,active
base_type,active
rarity,active
ilvl,active
identified,active
corrupted,active
fractured,active
synthesised,active
influence_shaper,active
influence_elder,active
influence_crusader,active
influence_redeemer,active
influence_hunter,active
influence_warlord,active
influence_searing,active
influence_tangled,active
socket_count,active
link_count,active
white_socket_count,active
explicit_mod_count,active
implicit_mod_count,active
crafted_mod_count,active
fractured_mod_count,active
enchant_mod_count,active
quality,active
armour,active
evasion,active
energy_shield,active
ward,active
physical_dps,active
elemental_dps,active
attack_speed,active
crit_chance,active
move_speed,active
life_roll_sum,active
resistance_roll_sum,active
attribute_roll_sum,active
jewel_type,active
cluster_size,active
cluster_passive_count,active
notable_count,active
damage_mod_count,active
defence_mod_count,active
utility_mod_count,active
gem_level,active
gem_quality,active
is_awakened,active
is_vaal,active
model_segment,active
observed_hour_utc,derived
observed_weekday_utc,derived
prefix_count,conditional
suffix_count,conditional
is_support_gem,conditional
gem_tags,conditional
league,excluded
frame_type,excluded
duplicated,excluded
clean_reason,excluded
