model_segment,split,row_count,min_updated_at,max_updated_at
rare_equipment,train,5054148,2026-04-12 19:25:22.517883+00,2026-04-19 04:12:36.024571+00
rare_equipment,valid,660109,2026-04-19 04:12:36.04296+00,2026-04-19 16:34:52.52656+00
rare_equipment,test,641286,2026-04-19 16:34:52.529766+00,2026-04-19 18:26:29.87819+00
jewel,train,3604524,2026-04-12 19:25:22.521027+00,2026-04-19 04:12:36.028396+00
jewel,valid,476946,2026-04-19 04:12:36.04416+00,2026-04-19 16:34:52.52245+00
jewel,test,482680,2026-04-19 16:34:52.538133+00,2026-04-19 18:26:29.876638+00
unique_equipment,train,1083137,2026-04-12 19:25:22.47199+00,2026-04-19 04:12:36.027818+00
unique_equipment,valid,122037,2026-04-19 04:12:36.029202+00,2026-04-19 16:34:52.512884+00
unique_equipment,test,126063,2026-04-19 16:34:52.549386+00,2026-04-19 18:26:29.873574+00
skill_gem,train,920730,2026-04-12 19:25:27.490125+00,2026-04-19 04:12:36.025855+00
skill_gem,valid,73725,2026-04-19 04:12:36.048178+00,2026-04-19 16:34:52.527474+00
skill_gem,test,82789,2026-04-19 16:34:52.528298+00,2026-04-19 18:26:29.857757+00
